image_filename,response_content,색감,분위기,고유한 특징,촬영 구도,동작,인물 수,의상
fineflower_snap_01.jpg,"
- 색감: 따뜻함
- 분위기: 로맨틱
- 고유한 특징: 빈티지
- 촬영 구도: 수직
- 동작: 미소
- 인물 수: 두 명
- 의상: 베일, 캐주얼(웨딩 드레스 및 턱시도 아님)",따뜻함,로맨틱,"클래식 연출, 감성적 연출",정면,미소/웃음,2명,"베일, 캐주얼"
from.sulmood_02.jpg,"
   - 색감: 따뜻한
   - 분위기: 로맨틱한, 아늑한, 편안한
   - 고유한 특징: 저녁 야경, 프로젝션, 야외
   - 촬영 구도: 밀착, 정면, 앉은 자세
   - 동작: 키스, 휴식, 달리기
   - 인물 수: 두 명
   - 의상: 웨딩 드레스, 턱시도, 캐주얼 ",따뜻함,"로맨틱, 소박함, 편안함","야외 배경, 도시 배경, 소품 활용, 감성적 연출, 유니크한 연출","정면, 근접","포옹/키스, 걷기/움직임",2명,"웨딩 드레스, 턱시도, 캐주얼"
cherrybuttercake.snap_01.png,"

- **색감**: 부드러운, 따뜻한 톤
- **분위기**: 감성적, 로맨틱
- **고유한 특징**: 자연스러움, 감정 표현 강조
- **촬영 구도**: 가까운 촬영, 자연 배경
- **동작**: 포옹
- **인물 수**: 두 명
- **의상**: 웨딩 드레스, 수트

","따뜻함, 부드러움","감성적, 로맨틱","일상적 연출, 인물 중심",근접,포옹/키스,2명,"웨딩 드레스, 턱시도"
go__snap_03.jpg,"- **색감**: 자연, 따뜻함, 부드러움
- **분위기**: 로맨틱, 감성적, 여유로움
- **고유한 특징**: 야외, 감성적 연출, 자연 요소 활용
- **촬영 구도**: 중앙 집중, 대칭, 자연 배경
- **동작**: 키스, 포옹, 앉아 있음
- **인물 수**: 2명
- **의상**: 웨딩 드레스, 정장, 캐주얼 의상 (청바지 등)","따뜻함, 부드러움, 자연","감성적, 로맨틱, 자유로움","야외 배경, 감성적 연출, 자연 배경",정면,"포옹/키스, 정적 포즈",2명,"웨딩 드레스, 턱시도, 캐주얼"
go__snap_04.jpg,"- **색감**: 자연스러움, 부드러운 톤
- **분위기**: 로맨틱, 따뜻함
- **고유한 특징**: 자연 배경, 친근한 느낌
- **촬영 구도**: 중앙 배치, 대칭적
- **동작**: 손잡기, 포옹
- **인물 수**: 2명
- **의상**: 화이트 드레스, 셔츠, 남성 정장

","부드러움, 자연","따뜻함, 로맨틱","자연 배경, 부드러운 분위기",정면,"손잡기/애정 표현, 포옹/키스",2명,"웨딩 드레스, 턱시도"
inef.snap_01.jpg,"
- 색감: 자연스러움, 부드러움
- 분위기: 로맨틱, 우아함
- 고유한 특징: 대비된 색상(레드 삭스), 캐주얼한 느낌의 신발
- 촬영 구도: 클로즈업, 다채로운 각도
- 동작: 없음
- 인물 수: 두 명
- 의상: 웨딩 드레스, 정장(턱시도 아님)","부드러움, 자연","로맨틱, 우아함","강렬한 색감, 캐주얼 연출","근접, 다각도",정적 포즈,2명,웨딩 드레스 
inef.snap_02.jpg,"
- 색감: 밝고 자연스러운
- 분위기: 경쾌하고 행복한
- 고유한 특징: 자연광 활용
- 촬영 구도: 다양한 각도 (전신, 측면)
- 동작: 보행, 정면 바라봄
- 인물 수: 두 명
- 의상: 웨딩 드레스, 턱시도 및 정장",밝음,경쾌함,"자연 배경, 감성적 연출","다각도, 측면",정적 포즈,2명,"웨딩 드레스, 턱시도"
inef.snap_03.jpg,"
- 색감: 따뜻한
- 분위기: 로맨틱한
- 고유한 특징: 소품 활용
- 촬영 구도: 클로즈업, 인물 중심
- 동작: 손짓
- 인물 수: 두 명
- 의상: 턱시도, 웨딩 드레스",따뜻함,로맨틱,소품 활용,"근접, 정면",정적 포즈,2명,"턱시도, 웨딩 드레스"
kimbokming_film_01.jpg,"색감: 화사한, 부드러운

분위기: 로맨틱한, 따뜻한

고유한 특징: 푸른 식물, 자연 배경

촬영 구도: 근접 촬영, 실루엣

동작: 기댐, 포옹

인물 수: 두 명

의상: 웨딩 드레스, 턱시도","부드러움, 화사함","따뜻함, 로맨틱","자연 배경, 부드러운 분위기","근접, 정면",포옹/키스,2명,"웨딩 드레스, 턱시도"
kimbokming_film_03.jpg,"

- 색감: 따뜻한, 감성적인
- 분위기: 로맨틱, 달콤한
- 고유한 특징: 자연스러움, 감정 표현
- 촬영 구도: 비치, 실내
- 동작: 포옹, 미소로 마주봄
- 인물 수: 두 명
- 의상: 드레스, 정장 (웨딩 드레스와 턱시도 아님)","감성, 따뜻함","경쾌함, 로맨틱","자연스러운 분위기, 인물 중심 ",정면,"포옹/키스, 미소/웃음",2명,웨딩 드레스
li.la.day_snap_01.jpg,"- 색감: 따뜻함, 자연광
- 분위기: 로맨틱, 행복
- 고유한 특징: 친밀감, 자연스러움
- 촬영 구도: 근접, 정면 및 측면
- 동작: 미소, 포옹
- 인물 수: 2명
- 의상: 웨딩 드레스, 셔츠, 정장 상의(턱시도)","따뜻함, 자연","경쾌함, 로맨틱","일상적 연출, 부드러운 분위기","정면, 측면, 근접","미소/웃음, 포옹/키스",2명,"웨딩 드레스, 턱시도"
li.la.day_snap_02.jpg,"- 색감: 따뜻함, 자연광
- 분위기: 로맨틱, 편안함
- 고유한 특징: 자연스러운 포즈, 친밀감
- 촬영 구도: 중심 배치, 자연 배경
- 동작: 키스, 포옹, 손잡기
- 인물 수: 2명
- 의상: 웨딩 드레스, 정장 착용","따뜻함, 자연","로맨틱, 편안함","일상적 연출, 부드러운 분위기",정면,"포옹/키스, 손잡기/애정 표현",2명,"웨딩 드레스, 턱시도"
li.la.day_snap_03.jpg,"
  - 색감: 따뜻한, 밝은
  - 분위기: 로맨틱한, 감성적인, 즐거운
  - 고유한 특징: 자연광 활용, 하늘, 스튜디오 배경
  - 촬영 구도: 클로즈업, 로우 앵글, 정면
  - 동작: 포옹, 키스, 앉기
  - 인물 수: 2명
  - 의상: 웨딩 드레스, 턱시도, 캐주얼","따뜻함, 밝음","감성적, 경쾌함, 로맨틱","자연 배경, 일상적 연출, 부드러운 분위기, 캐주얼 연출 ","정면, 근접",포옹/키스,2명,"웨딩 드레스, 턱시도, 캐주얼"
oev.official_02.png,"1. 색감: 따뜻함, 어두움, 대비감
2. 분위기: 로맨틱, 친밀, 감성적
3. 고유한 특징: 조명 활용, 그림자, 감정 표현
4. 촬영 구도: 클로즈업, 탑뷰, 대칭
5. 동작: 바라봄, 손 잡기
6. 인물 수: 두 사람, 두 사람, 두 사람
7. 의상: 웨딩 드레스, 캐주얼, 이브닝 드레스, 셔츠 및 바지","대비, 따뜻함, 어두움","감성적, 로맨틱","감성적 연출, 클래식 연출, 유니크한 연출","탑뷰, 근접, 정면","미소/웃음, 손잡기/애정 표현",2명,"웨딩 드레스, 캐주얼, 캐주얼"
loveisall.film_03.jpg,"색감: 자연적인, 선명한  
분위기: 로맨틱, 행복  
고유한 특징: 자연스러운 순간 포착  
촬영 구도: 다양한 각도, 인물 중심  
동작: 사진 촬영, 손잡기, 포옹  
인물 수: 두 명씩  
의상: 캐주얼, 웨딩 드레스, 캐주얼 셔츠/바지, 검은 드레스, 캐주얼 복장  
","선명함, 자연","경쾌함, 로맨틱","일상적 연출, 인물 중심",다각도,"손잡기/애정 표현, 포옹/키스",2명,"캐주얼, 웨딩 드레스"
filmdenini_02.png,"- **색감**: 부드러운, 따뜻한
- **분위기**: 로맨틱한, 자연스러운
- **고유한 특징**: 감성적인, 자연 속의 연출
- **촬영 구도**: 원거리 샷, 움직이는 동작 포착
- **동작**: 손잡기, 동반
- **인물 수**: 2명
- **의상**: 웨딩 드레스, 턱시도 착용","따뜻함, 부드러움","로맨틱, 자연스러움","감성적 연출, 자연 배경, 야외 배경",다각도,손잡기/애정 표현,2명,"웨딩 드레스, 턱시도"
lovepool.__02.jpg,"- 색감: 따뜻함, 자연광, 부드러움
- 분위기: 로맨틱, 행복, 자연 친화적
- 고유한 특징: 감성적인 순간 포착, 자연 배경
- 촬영 구도: 다채로운 각도, 클로즈업 및 전신 샷
- 동작: 무릎 꿇기, 포옹, 손 잡기
- 인물 수: 2명
- 의상: 간편한 드레스, 수트, 빨간 드레스, 웨딩 드레스 없음, 턱시도 없음
  
","따뜻함, 부드러움, 자연","경쾌함, 로맨틱, 자연스러움","감성적 연출, 자연 배경","다각도, 근접 ","포옹/키스, 손잡기/애정 표현",2명,"웨딩 드레스, 턱시도,  캐주얼"
lovepool.__03.jpg,"- 색감: 따뜻함, 부드러움
- 분위기: 로맨틱, 행복함
- 고유한 특징: 자연광 활용, 감성적 
- 촬영 구도: 대칭적, 클로즈업
- 동작: 웃음, 포옹, 손잡기
- 인물 수: 1명, 2명
- 의상: 웨딩 드레스, 정장, 캐주얼 복장","따뜻함, 부드러움","경쾌함, 로맨틱","감성적 연출, 자연 배경, 부드러운 분위기",근접,"미소/웃음, 포옹/키스, 손잡기/애정 표현","1명, 2명","웨딩 드레스, 턱시도, 캐주얼"
madive.official_01.jpg,"
- **색감**: 자연스러움, 부드러움
- **분위기**: 로맨틱함, 감성적
- **고유한 특징**: 흐르는 듯한 조명, 부드러운 명암 대비
- **촬영 구도**: 인물 중심, 자연 배경 활용
- **동작**: 손 잡기
- **인물 수**: 2명
- **의상**: 웨딩 드레스, 정장

.","부드러움, 자연","감성적, 로맨틱","강렬한 색감, 유니크한 연출, 클래식 연출, 감성적 연출",다각도,손잡기/애정 표현,2명,"웨딩 드레스, 턱시도"
madive.official_02.jpg,"- 색감: 부드러운, 자연스러운, 화사한
- 분위기: 로맨틱한, 우아한, 행복한
- 고유한 특징: 자연광 활용, 따뜻한 톤
- 촬영 구도: 정면, 측면, 다채로운 배경
- 동작: 정적임 (키스, 포옹 없음)
- 인물 수: 1명, 2명
- 의상: 웨딩 드레스, 턱시도","부드러움, 자연, 화사함","경쾌함, 로맨틱, 우아함","부드러운 분위기, 자연 배경 ","정면, 측면",정적 포즈,"1명, 2명","웨딩 드레스, 턱시도"
madive.official_03.jpg,"
- 색감: 따뜻함, 밝음, 부드러움
- 분위기: 로맨틱, 행복함, 사랑스러움
- 고유한 특징: 자연, 소품 활용, 부드러운 이미지
- 촬영 구도: 근접 촬영, 앉은 포즈, 누운 포즈
- 동작: 얼굴 맞댐, 손 잡기, 미소
- 인물 수: 두 명
- 의상: 웨딩 드레스, 턱시도","따뜻함, 밝음, 부드러움","경쾌함, 로맨틱, 사랑스러움","자연 배경, 소품 활용, 부드러운 분위기","근접, 다각도","손잡기/애정 표현, 미소/웃음",2명,"웨딩 드레스, 턱시도"
mimostudio.kr_01.jpg,"
1. 색감: 모노톤, 클래식, 부드러움
2. 분위기: 로맨틱, 세련됨, 우아함
3. 고유한 특징: 미니멀리즘, 간결함, 집중도
4. 촬영 구도: 전신, 측면, 클로즈업
5. 동작: 정적, 포옹 없음, 키스 없음
6. 인물 수: 2명
7. 의상: 웨딩 드레스, 턱시도 착용

","부드러움, 빈티지, 흑백","로맨틱, 우아함",유니크한 연출,"전신, 측면, 근접",정적 포즈,2명,"웨딩 드레스, 턱시도"
mimostudio.kr_02.jpg,"
1. **색감**: 자연광, 따뜻함
2. **분위기**: 로맨틱, 부드러움
3. **고유한 특징**: 감성적, 친밀함
4. **촬영 구도**: 다양함 (위에서 내려다보는 구도, 가까운 거리)
5. **동작**: 누워있음, 웃음
6. **인물 수**: 두 명
7. **의상**: 웨딩 드레스, 턱시도

","따뜻함, 자연","감성적, 로맨틱","감성적 연출, 인물 중심, 일상적 연출","다각도, 탑뷰","정적 포즈, 미소/웃음",2명,"웨딩 드레스, 턱시도"
mimostudio.kr_03.jpg,"색감: 자연광, 흑백
분위기: 로맨틱, 우아함
고유한 특징: 캐주얼함과 세련된 스타일의 조화
촬영 구도: 클로즈업, 자연스러운 포즈
동작: 키스, 웃음
인물 수: 2명
의상: 웨딩 드레스, 캐주얼 셔츠 및 바지","자연, 흑백","로맨틱, 우아함","캐주얼 연출, 유니크한 연출","근접, 정면","포옹/키스, 미소/웃음",2명,"웨딩 드레스, 캐주얼"
mimostudio.kr_04.jpg,"
- 색감: 따뜻함, 흑백
- 분위기: 로맨틱, 우아함
- 고유한 특징: 부드러운 조명, 감성적
- 촬영 구도: 클로즈업, 포커스
- 동작: 없음
- 인물 수: 1명, 2명
- 의상: 드레스, 턱시도

","따뜻함, 흑백","로맨틱, 우아함","감성적 연출, 부드러운 분위기",근접,정적 포즈,"1명, 2명","웨딩 드레스, 턱시도"
ourownfilm_03.jpg,"

1. 색감: 부드러운, 따뜻한
2. 분위기: 친근한, 행복한
3. 고유한 특징: 자연스러운 감정 표현
4. 촬영 구도: 가까운, 친밀한
5. 동작: 얼굴 맞대기 
6. 인물 수: 1명, 2명 
7. 의상: 캐주얼, 웨딩 드레스와 턱시도","따뜻함, 부드러움","감성적, 경쾌함","일상적 연출, 인물 중심 ",근접,미소/웃음,"1명, 2명","캐주얼, 웨딩 드레스, 턱시도"
plain_note_01.jpg,"색감: 부드러운, 따뜻한, 차분한  
분위기: 로맨틱한, 우아한, 포근한  
고유한 특징: 클래식, 자연스러움  
촬영 구도: 인물 중심, 근접 샷  
동작: 미소, 포옹  
인물 수: 1명, 2명  
의상: 드레스, 턱시도","따뜻함, 부드러움","로맨틱, 소박함, 우아함","클래식 연출, 인물 중심",근접,"미소/웃음, 포옹/키스","1명, 2명","웨딩 드레스, 턱시도"
plain_note_02.jpg,"

1. **색감**: 풍부한, 따뜻한, 로맨틱한
2. **분위기**: 행복한, 사랑스러운, 감성적인
3. **고유한 특징**: 도시 배경, 자연광, 감성적인 연출
4. **촬영 구도**: 인물 중심, 인물과 배경의 조화
5. **동작**: 웃음, 손잡기
6. **인물 수**: 두 사람
7. **의상**: 웨딩 드레스, 턱시도

","감성, 따뜻함, 풍부함","감성적, 경쾌함, 사랑스러움","도시 배경, 자연 배경, 감성적 연출",정면,"미소/웃음, 손잡기/애정 표현",2명,"웨딩 드레스, 턱시도"
plain_note_03.jpg,"
- 색감: 따뜻함, 밝음
- 분위기: 로맨틱함, 행복함
- 고유한 특징: 자연스러움, 즐거움
- 촬영 구도: 근접 샷, 정면 사진
- 동작: 없음
- 인물 수: 두 명
- 의상: 웨딩 드레스, 턱시도 착용","따뜻함, 밝음","경쾌함, 로맨틱","일상적 연출, 캐주얼 연출","근접, 정면",정적 포즈,2명,"웨딩 드레스, 턱시도"
repeart_pic_03.jpg,"
- 색감: 따뜻함, 자연스러움
- 분위기: 로맨틱, 행복
- 고유한 특징: 감성적인 표현
- 촬영 구도: 근접 샷, 자연스러운 포즈
- 동작: 손 잡기, 달리기
- 인물 수: 2명
- 의상: 웨딩 드레스, 턱시도, 캐주얼 복장

","따뜻함, 자연","경쾌함, 로맨틱","감성적 연출, 인물 중심",근접,"손잡기/애정 표현, 걷기/움직임 ",2명,"웨딩 드레스, 턱시도, 캐주얼"
seoro.snap_02.jpg,"- 색감: 선명한, 자연스러운
- 분위기: 로맨틱한, 행복한
- 고유한 특징: 자연 배경, 활기찬
- 촬영 구도: 근접 샷, 전신 샷
- 동작: 포옹
- 인물 수: 2명
- 의상: 드레스, 정장 (웨딩 드레스, 턱시도 아님)","선명함, 자연","경쾌함, 로맨틱","자연 배경, 캐주얼 연출 ","근접, 정면",포옹/키스,2명,웨딩 드레스
seoro.snap_03.jpg,"- 색감: 자연적, 부드러운
- 분위기: 로맨틱, 평화로운
- 고유한 특징: 야외 촬영, 자연 요소 강조
- 촬영 구도: 대칭적, 넓은 배경 활용
- 동작: 가까이 앉음, 키스, 손 잡음
- 인물 수: 2명
- 의상: 캐주얼 드레스, 밝은 정장, 턱시도 아님","부드러움, 자연","로맨틱, 평화로움","야외 배경, 자연 배경 ",정면,"미소/웃음, 포옹/키스, 손잡기/애정 표현",2명,"캐주얼, 턱시도"
today_is_the_day_studio_01.jpg,"색감: 밝음, 화사함
분위기: 로맨틱, 사랑스러움
고유한 특징: 자연 속 포즈, 캐주얼함, 강아지
촬영 구도: 근접 촬영, 인물 중심
동작: 애정 표현 (손잡기, 포옹, 키스)
인물 수: 두 명
의상: 웨딩 드레스 (유사), 정장 (캐주얼)","밝음, 화사함","로맨틱, 사랑스러움","자연 배경, 캐주얼 연출","근접, 정면","손잡기/애정 표현, 포옹/키스",2명,웨딩 드레스
today_is_the_day_studio_02.jpg,"
- 색감: 화사한, 밝은
- 분위기: 로맨틱한, 즐거운
- 고유한 특징: 감성적인 연출, 다채로운 소품 사용
- 촬영 구도: 다양한 각도, 움직임과 재미 강조
- 동작: 키스, 포옹
- 인물 수: 두 명
- 의상: 웨딩 드레스, 턱시도, 드레스 및 캐주얼 차림","밝음, 화사함","경쾌함, 로맨틱","감성적 연출, 소품 활용",다각도,포옹/키스,2명,"웨딩 드레스, 턱시도,  캐주얼"
today_is_the_day_studio_03.jpg,"- **색감**: 화사함, 밝음
- **분위기**: 로맨틱, 자연스러움
- **고유한 특징**: 부드러운 조명, 자연 배경
- **촬영 구도**: 클로즈업, 자연 속 
- **동작**: 미소, 포즈
- **인물 수**: 1명, 2명
- **의상**: 웨딩 드레스, 턱시도","밝음, 화사함","로맨틱, 자연스러움","부드러운 분위기, 자연 배경",근접,미소/웃음,"1명, 2명","웨딩 드레스, 턱시도"
filmdenini_03.png,"- 색감: 따뜻함, 빈티지
- 분위기: 로맨틱, 자연스러움
- 고유한 특징: 자연 배경 활용
- 촬영 구도: 다양한 각도, 다이내믹
- 동작: 정적, 앉아 있음; 역동
- 인물 수: 2명
- 의상: 웨딩 드레스, 정장

","따뜻함, 빈티지","로맨틱, 자연스러움",자연 배경,다각도,정적 포즈,2명,"웨딩 드레스, 턱시도"
yideo_snap_02.jpg,"- 색감: 따뜻함, 부드러움
- 분위기: 로맨틱, 친밀함
- 고유한 특징: 자연광 활용, 포근한 느낌
- 촬영 구도: 다양함, 친밀한 순간 강조
- 동작: 웃음, 키스
- 인물 수: 2명
- 의상: 웨딩 드레스, 턱시도, 캐주얼 복장","따뜻함, 부드러움","감성적, 로맨틱","자연 배경, 부드러운 분위기",정면,"미소/웃음, 포옹/키스",2명,"웨딩 드레스, 턱시도, 캐주얼"
yideo_snap_03.jpg,"
- **색감**: 자연스러움, 따뜻함
- **분위기**: 로맨틱함, 사랑스러움
- **고유한 특징**: 감성적, 편안함, 강아지
- **촬영 구도**: 상단 샷, 클로즈업
- **동작**: 포옹, 키스
- **인물 수**: 두 명, 
- **의상**: 웨딩 드레스, 턱시도, 캐주얼 정장","따뜻함, 자연","로맨틱, 사랑스러움","감성적 연출, 부드러운 분위기, 유니크한 연출","탑뷰, 근접",포옹/키스,2명,"웨딩 드레스, 턱시도, 캐주얼"
yideo_snap_04.jpg,"
색감: 따뜻한, 자연스러운, 흑백
분위기: 로맨틱한, 여유로운
고유한 특징: 감성적, 자연을 배경으로 함, 강아지
촬영 구도: 다채로운, 역동적
동작: 포옹, 나란히 앉음, 함께 달리기
인물 수: 두 명
의상: 웨딩 드레스, 정장","따뜻함, 자연, 흑백","로맨틱, 자유로움","감성적 연출, 자연 배경, 야외 배경",다각도,"포옹/키스, 춤/활동적 동작",2명,"웨딩 드레스, 턱시도"
youandme_wedding_01.jpg,"
- 색감: 자연스러움, 부드러움, 따뜻함
- 분위기: 로맨틱, 경쾌, 평화로움, 사랑스러움
- 고유한 특징: 야외 배경
- 촬영 구도: 손잡기, 가까운 거리, 나란히 서 있음. 
- 동작: 손 잡기, 이마 맞대기, 다정한 포즈
- 인물 수: 2명
- 의상: 드레스, 캐주얼, 턱시도 ","따뜻함, 부드러움, 자연","경쾌함, 로맨틱, 사랑스러움, 평화로움",야외 배경,정면,손잡기/애정 표현,2명,"웨딩 드레스, 캐주얼, 턱시도"
youandme_wedding_03.jpg,"
   - **색감**: 자연, 녹색, 청명함, 파란 하늘
   - **분위기**: 로맨틱, 평화로움, 자유로움
   - **고유한 특징**: 꽃다발, 정면, 야외, 하늘
   - **촬영 구도**: 옆모습, 정면, 전신
   - **동작**: 손잡고 있음
   - **인물 수**: 2명
   - **의상**: 드레스, 턱시도","자연, 청량감","로맨틱, 자유로움, 평화로움","야외 배경, 자연 배경, 클래식 연출, 소품 활용","측면, 정면, 다각도",손잡기/애정 표현,2명,"웨딩 드레스, 턱시도"
albin_snap_01.jpg,"- 색감: 따뜻한, 부드러운
- 분위기: 로맨틱한, 평화로운
- 고유한 특징: 자연 배경, 드라마틱한 베일 연출
- 촬영 구도: 근접 샷, 앉은 자세
- 동작: 없음
- 인물 수: 1명
- 의상: 웨딩 드레스, 베일","따뜻함, 부드러움","로맨틱, 평화로움","자연 배경, 감성적 연출, 유니크한 연출","근접, 다각도",정적 포즈,1명,"웨딩 드레스, 베일"
bee_hatbe_01.jpg,"- **색감**: 따뜻한, 자연스러운
- **분위기**: 로맨틱한, 즐거운
- **고유한 특징**: 편안한, 자연스러운 포즈
- **촬영 구도**: 인물 중심, 가까운 거리
- **동작**: 포옹
- **인물 수**: 두 명
- **의상**: 캐주얼, 웨딩 드레스, 정장

","따뜻함, 자연","경쾌함, 로맨틱","부드러운 분위기, 인물 중심","정면, 근접",포옹/키스,2명,"캐주얼, 웨딩 드레스, 턱시도"
bee_hatbe_02.jpg,"
- 색감: 따뜻함, 빈티지 느낌
- 분위기: 경쾌함, 로맨틱
- 고유한 특징: 자연스러움, 일상적 배경, 꽃, 아이스크림, 일본  
- 촬영 구도: 근접, 캔디드 스타일
- 동작: 웃음, 포옹
- 인물 수: 2명
- 의상: 웨딩 드레스, 캐주얼한 정장/턱시도 느낌","따뜻함, 빈티지","경쾌함, 로맨틱","인물 중심, 소품 활용, 캐주얼 연출",근접,"미소/웃음, 포옹/키스",2명,"웨딩 드레스, 캐주얼"
bee_hatbe_03.jpg,"

- 색감: 부드러운, 따뜻한
- 분위기: 로맨틱, 즐거운
- 고유한 특징: 자연스러움, 캐주얼
- 촬영 구도: 근접, 인물 중심
- 동작: 웃음, 포즈, 꽃으로 얼굴 가리기
- 인물 수: 두 명
- 의상: 웨딩 드레스, 턱시도, 캐주얼 의상","따뜻함, 부드러움","경쾌함, 로맨틱",캐주얼 연출,근접,"미소/웃음, 소품 활용/기타",2명,"웨딩 드레스, 턱시도, 캐주얼"
bee_hatbe_04.jpg,"
- **색감**: 선명한, 자연스러운
- **분위기**: 로맨틱한, 일상적인
- **고유한 특징**: 감성적인, 자연광 활용,감성적인, 자연광 활용, 꽃, 영화관
- **촬영 구도**: 근접 촬영, 인물 중심
- **동작**: 포옹
- **인물 수**: 두 명
- **의상**: 캐주얼, 흰 셔츠, 검은 드레스 (웨딩 드레스, 턱시도 없음)","선명함, 자연","로맨틱, 자연스러움","감성적 연출, 유니크한 연출, 소품 활용","근접, 정면",포옹/키스,2명,캐주얼
